Year,Category,Subcategory,Sub-subcategory,Total,"Food insecure-1,000",Food insecure-percent,Food insecure-share,"Very low food security-1,000",Very low food security-percent,Very low food security-share
2021,All households,Employment,Disabled,4738,1776,37.5,13.1,944,19.9,18.6
2021,All households,Employment,Not in labor force,2963,736,24.8,5.4,306,10.3,6
2021,All households,Education,Less than high school,6043,1505,24.9,11.1,557,9.2,11
2021,All households,Education,High School,28607,4460,15.6,33,1691,5.9,33.3
2021,All households,Education,Some College,35637,4686,13.1,34.7,1751,4.9,34.5
2021,All households,Education,College or more,61756,2858,4.6,21.2,1082,1.8,21.3
2021,All households,Disability status,Not in labor force due to disability,10769,3026,28.1,22.4,1439,13.4,28.3
2021,All households,Disability status,Other disability among adults 18-64,8041,1947,24.2,14.4,777,9.7,15.3
2021,All households,Disability status,Other disability among adults 65+,12410,1074,8.7,8,443,3.6,8.7
2021,All households,Disability status,No adult with disabilities,100823,7462,7.4,55.2,2421,2.4,47.6
2022,All households,All households,All households,132730,16980,12.8,100,6793,5.1,100
2022,All households,Employment,Full-time,86754,9399,10.8,55.4,3271,3.8,48.2
2022,All households,Employment,Retired,30465,2673,8.8,15.7,1069,3.5,15.7
2022,All households,Employment,Part-time non-economic reasons,5832,1178,20.2,6.9,482,8.3,7.1
2022,All households,Employment,Part-time economic reasons,796,282,35.5,1.7,141,17.7,2.1
2022,All households,Employment,Unemployed,1624,796,49,4.7,412,25.4,6.1
2022,All households,Employment,Disabled,4376,1843,42.1,10.9,1002,22.9,14.7
2022,All households,Employment,Not in labor force,2884,810,28.1,4.8,416,14.4,6.1
2022,All households,Education,Less than high school,6158,1866,30.3,11,695,11.3,10.2
2022,All households,Education,High School,27512,5386,19.6,31.7,2164,7.9,31.8
2022,All households,Education,Some College,35932,5906,16.4,34.8,2466,6.9,36.3
2022,All households,Education,College or more,63128,3822,6.1,22.5,1468,2.3,21.6
2022,All households,Disability status,Not in labor force due to disability,10183,3330,32.7,19.6,1679,16.5,24.7
2022,All households,Disability status,Other disability among adults 18-64,8378,2137,25.5,12.6,1051,12.5,15.5
2022,All households,Disability status,Other disability among adults 65+,12326,1403,11.4,8.3,511,4.1,7.5
2022,All households,Disability status,No adult with disabilities,101842,10111,9.9,59.5,3552,3.5,52.3
2023,All households,All households,All households,132532,17955,13.5,100,6799,5.1,100
2023,All households,Employment,Full-time,86181,10111,11.7,56.3,3467,4,51
2023,All households,Employment,Retired,30802,2792,9.1,15.5,1040,3.4,15.3
2023,All households,Employment,Part-time non-economic reasons,6040,1385,22.9,7.7,533,8.8,7.8
2023,All households,Employment,Part-time economic reasons,884,387,43.8,2.2,186,21,2.7
2023,All households,Employment,Unemployed,1628,626,38.5,3.5,322,19.8,4.7
2023,All households,Employment,Disabled,4461,1867,41.9,10.4,929,20.8,13.7
2023,All households,Employment,Not in labor force,2536,788,31.1,4.4,322,12.7,4.7
2023,All households,Education,Less than high school,6131,1870,30.5,10.4,677,11,10
2023,All households,Education,High School,27320,5703,20.9,31.8,2158,7.9,31.7
2023,All households,Education,Some College,35770,6190,17.3,34.5,2505,7,36.8
2023,All households,Education,College or more,63312,4193,6.6,23.4,1458,2.3,21.4
2023,All households,Disability status,Not in labor force due to disability,10254,3472,33.9,19.3,1686,16.4,24.8
2023,All households,Disability status,Other disability among adults 18-64,8599,2438,28.3,13.6,1159,13.5,17.1
2023,All households,Disability status,Other disability among adults 65+,12671,1404,11.1,7.8,509,4,7.5
2023,All households,Disability status,No adult with disabilities,101008,10642,10.5,59.3,3445,3.4,50.7
